participant_id,age_group,gender,education,occupation,country_of_residence,nationality,race,native_tongue,languages_spoken,english_fluency,political_party,political_inclination,listening_habits,tech_savy,ai_experience,media_consumption,participant_date_of_entry,rating_id,audio_clip_id,speech_clarity,speech_persuasiveness,speech_pace_engagement,speaker_trustworthiness,speech_trustworthiness,speaker_competence,speech_speed_influence,pitch_sincerity_effect,loudness_attention_influence,realness_scale,realness_perception,influenced_by_tone,influenced_by_quality,influenced_by_content,confidence_level,policy_agreement,likelihood_to_vote,open_ended_response,group_no,share_likely_private,share_likely_public,report_misleading,downrank_agree,watermark_action,candidate_position_after,agreement_candidate_position,candidate_consistency,candidate_alignment,confidence_candidate_position,em_anger,em_fear,em_enthusiasm,em_pride,mip_topics,mip_topics_before,perceived_threat,identity_threat,salience_before,stance_before,salience_after,stance_after,rating_created_at,topic,speaker,group
41,31-40,he/him/his,High school or equivalent,Unemployed,US,"[""France""]","[""White""]","[""English""]",1,Proficient (C2),Republicans,6,"[""Audiobooks""]",Comfortable,Intermediate,Casual viewer,2025-10-31 10:44:08,907,528,9,7,8,5,7,4,9,3,4,10,1,1,0,1,10,8,1,I thought Trump made a good point.,1,1,1,0,5,2,1,8,3,8,7,1,1,3,1,Healthcare,Healthcare,3,1,6,3,6,3,2025-10-31 10:48:59,Education,Trump,1
43,31-40,she/her/hers,Bachelor's degree,Information Technology (IT) & Software,US,"[""Germany""]","[""White""]","[""English""]",1,Proficient (C2),Independent,5,"[""Music"", ""White Noise"", ""Podcasts""]",Very comfortable,Beginner,Social media scroller,2025-10-31 10:45:40,909,552,10,6,7,6,6,6,10,1,2,8,1,1,1,1,8,5,4,No.,1,1,1,0,10,5,8,5,6,5,7,5,3,5,4,"National Security, Economy, Healthcare, Unifying the country","Economy, Government / Poor leadership, Unifying the country, Healthcare",5,5,7,6,7,5,2025-10-31 10:50:19,NationalSecurity,Trump,1
45,60<,she/her/hers,Professional degree,Law & Legal Services,US,"[""Italy""]","[""White""]","[""English""]",1,Proficient (C2),Republicans,10,"[""Podcasts""]",Comfortable,Beginner,Casual viewer,2025-10-31 10:48:53,910,529,10,5,3,8,8,9,1,1,1,2,0,1,0,0,7,8,7,,1,1,1,0,8,7,10,9,9,8,10,1,1,1,3,Economy,Economy,1,1,2,2,2,9,2025-10-31 10:52:50,Gender,Trump,1
49,60<,she/her/hers,Master's degree,Healthcare & Medical,US,"[""France""]","[""White""]","[""English""]",1,Advanced (C1),Democrats,6,"[""Music""]",Comfortable,Intermediate,News junkie,2025-10-31 10:56:13,912,553,8,3,1,8,7,7,10,8,1,5,1,1,0,1,5,1,3,I did not select racism as one of the issues facing the country but the follow up questions have refer to racism. ,1,1,1,0,1,1,8,2,7,1,8,1,1,1,5,"Climate, Crime & Public safety, Healthcare",National Security,3,1,6,6,5,5,2025-10-31 11:00:59,Racism,Trump,1
51,41-50,he/him/his,High school or equivalent,Government & Public Sector,US,"[""Mexico""]","[""Hispanic or Latino""]","[""English""]",2,Proficient (C2),Republicans,10,"[""Music"", ""Podcasts""]",Very comfortable,Intermediate,Social media scroller,2025-10-31 11:09:29,913,539,10,10,1,10,10,10,10,1,8,10,1,1,0,1,10,9,9,,1,1,1,0,1,5,10,10,9,9,9,1,2,7,9,"Immigration, National Security, Economy, Government / Poor leadership, Healthcare, Poverty / Homelessness","Healthcare, Unifying the country, Government / Poor leadership, Education, National Security, Immigration",9,1,8,8,8,8,2025-10-31 11:14:11,NationalSecurity,Trump,1
53,31-40,she/her/hers,Bachelor's degree,Law & Legal Services,US,"[""United States of America""]","[""White""]","[""English""]",2,Proficient (C2),Democrats,2,"[""Music""]",Comfortable,Intermediate,Social media scroller,2025-10-31 11:11:28,916,421,9,7,7,8,7,8,10,2,6,9,1,0,0,1,8,7,10,,1,6,6,0,4,4,8,7,8,8,9,1,1,7,6,"Economy, Government / Poor leadership, Healthcare, Unifying the country, Racism, Immigration, Elections / Democracy","Economy, Government / Poor leadership, Healthcare, Unifying the country, Racism, Immigration, Elections / Democracy",6,1,6,7,6,7,2025-10-31 11:20:12,Climate,Harris,1
54,41-50,he/him/his,Bachelor's degree,Trades & Construction,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,4,"[""Podcasts"", ""Music"", ""Nature Sounds""]",Comfortable,Advanced,Social media scroller,2025-10-31 11:13:19,915,445,10,7,8,9,9,9,9,2,3,7,1,1,1,0,6,8,9,it just sounded like a sound bit that I could easily picture being said by Kamala Harris,1,2,3,0,1,7,2,8,9,8,9,1,1,5,8,"Economy, Government / Poor leadership, Poverty / Homelessness, Unifying the country","Unifying the country, Economy, Government / Poor leadership, Poverty / Homelessness",3,2,5,4,5,5,2025-10-31 11:18:01,NationalSecurity,Harris,1
58,51-60,he/him/his,Bachelor's degree,Information Technology (IT) & Software,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Democrats,3,"[""Music"", ""Audiobooks"", ""Podcasts""]",Very comfortable,Advanced,Podcast listener,2025-10-31 11:20:29,917,533,7,1,4,1,1,1,8,1,1,2,0,1,0,1,9,1,1,,1,1,1,1,10,7,10,1,10,10,10,7,1,1,1,"Immigration, Economy, Climate, Education, Government / Poor leadership, Elections / Democracy, Healthcare, Poverty / Homelessness, Unifying the country","Immigration, Economy, Climate, Education, Government / Poor leadership, Elections / Democracy, Healthcare, Poverty / Homelessness, Unifying the country",9,9,10,3,10,3,2025-10-31 11:20:30,Immigration,Trump,1
59,18-30,she/her/hers,Master's degree,Information Technology (IT) & Software,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Republicans,7,"[""Music"", ""Podcasts""]",Very comfortable,Advanced,Social media scroller,2025-10-31 11:27:49,920,419,10,9,9,9,9,9,9,1,1,8,1,1,1,1,8,9,9,,1,7,3,0,1,5,9,9,9,9,9,4,7,4,6,"Immigration, Economy, Racism, Gender, Poverty / Homelessness","Immigration, Economy, Racism, Gender, Poverty / Homelessness",8,1,7,8,8,8,2025-10-31 11:34:47,Climate,Harris,1
62,41-50,he/him/his,High school or equivalent,Transportation & Logistics,US,"[""United States of America""]","[""White""]","[""English""]",1,Proficient (C2),Independent,5,"[""Music""]",Very comfortable,Beginner,Casual viewer,2025-10-31 11:44:19,921,550,9,6,6,1,1,5,7,5,2,2,0,0,0,1,8,5,2,Didn't seem like something Trump would say,1,1,1,0,10,1,3,5,1,5,5,1,1,1,1,"Economy, Other","Economy, Other",1,1,1,5,1,5,2025-10-31 11:47:10,Education,Trump,1
